id	name	label	resource	description	synonyms	pmids	taxid	xrefs	raw_id
MONDO:0001552	dyscalculia	Disease	MONDO	A wide group of related learning disorders characterized by difficulties with mathematics and manipulating numbers; the difficulty with math may be caused or exacerbated by visuo-spatial or language processing difficulties. [NCIT:C97165]	mathematics disorder|dyscalculia|dyscalculia (disease)|disorder of arithmetical skills			SCTID:47916000|MESH:D060705|NCIT:C97165|ICD-9:315.1|ICD9:315.1|HP:HP:0002442|HP:0002442|DOID:12568	MONDO:0001552
MONDO:0001722	central pterygium	Disease	MONDO					UMLS:C0155156|ICD-9:372.43|SCTID:43300008|ICD9:372.43|DOID:13473	MONDO:0001722
MONDO:0006787	hidrocystoma	Disease	MONDO	A benign cystic proliferation of the sweat glands with apocrine or eccrine differentiation. It usually presents as a dome-shaped, cystic papular or nodular lesion usually in the face and neck. It is a unilocular or mutlilocular lesion lined by an inner and an outer layer of epithelium. Complete excision is usually curative. [NCIT:C3760]	Hydrocystoma|apocrine cystadenoma|eccrine hidrocystoma of skin|apocrine/eccrine hidrocystoma|eccrine cystadenoma|cystadenoma|hidrocystoma|hidrocystoma (morphologic abnormality)			ICD-9:709.8|UMLS:C0206672|NCIT:C3760|EFO:1000967|ICD9:709.8|ICDO:8404/0|MedDRA:10059019|SCTID:254725004|MESH:D018251|DOID:3893	MONDO:0006787
MONDO:0007523	Ehlers-Danlos syndrome, hypermobility type	Disease	MONDO	Ehlers-Danlos syndrome, hypermobility type (HT-EDS) is the most frequent form of EDS, a group of hereditary connective tissue diseases, and is characterized by joint hyperlaxity, mild skin hyperextensibility, tissue fragility and extra-musculoskeletal manifestations. [Orphanet:285]	BJHS|HT-EDS|Ehlers-Danlos syndrome, hypermobility type|EDS 3|hypermobile EDS|benign joint hypermobility syndrome|benign hypermobility syndrome|Ehlers-Danlos syndrome type 3 (formerly)|EDSHMB|EDS III|Ehlers-Danlos syndrome type 3|hypermobile Ehlers-Danlos syndrome|hEDS|EDS3 (formerly)|Ehlers-Danlos syndrome, type III|Ehlers-Danlos syndrome, hypermobile type|Ehlers-Danlos syndrome, type 3			UMLS:C0268337|Orphanet:285|ORDO:285|SCTID:30652003|NCIT:C125698|GARD:0002081|MESH:C536196|OMIM:130020|DOID:14757	MONDO:0007523
MONDO:0007887	leiomyoma of vulva and esophagus	Disease	MONDO		leiomyomatosis, esophagogastric and vulvar|leiomyoma of vulva and esophagus|esophagogastric and vulvar leiomyomatosis			GARD:0010097|UMLS:C1835488|MESH:C537006|OMIM:150700	MONDO:0007887
MONDO:0021184	deltaretrovirus infections	Disease	MONDO	Infections caused by the HTLV or BLV deltaretroviruses. They include human T-cell leukemia-lymphoma (LEUKEMIA-LYMPHOMA, T-CELL, ACUTE, HTLV-I-ASSOCIATED). [MESH:D006800]	HTLV-BLV infections|infections, Deltaretrovirus|BLV infections|BLV infection|infection, Deltaretrovirus|HTLV infection|HTLV BLV infections|Deltaretrovirus infection|HTLV-BLV infection|HTLV infections			MESH:D006800	MONDO:0021184
MONDO:0021354	tumor of adipose tissue	Disease	MONDO	A neoplasm (disease) that involves the adipose tissue. [MONDO:patterns/location]	neoplasm of adipose tissue|adipose tissue neoplasm (disease)|tumor of the adipose tissue|adipose tissue tumor|tumor of adipose tissue|neoplasm of the adipose tissue|adipose tissue neoplasm|lipomatous tumor|lipomatous neoplasm			ICD-9:239.2|UMLS:C0206631|NCIT:C4248|SCTID:254831005|ICD9:239.2	MONDO:0021354
MONDO:0001596	hypochondriasis	Disease	MONDO	A somatoform disorder in which an individual is preoccupied with having a serious illness despite not having been given a corroborating diagnosis. [NCIT:P378]	hypochondriacal disorder|hypochondriacal neurosis|hypochondria			DOID:12883|ICD-9:300.7|MESH:D006998|SCTID:18193002|ICD9:300.7	MONDO:0001596
MONDO:0017117	congenital non-communicating hydrocephalus	Disease	MONDO		congenital obstructive hydrocephalus			Orphanet:269510|SCTID:762295002|ORDO:269510	MONDO:0017117
MONDO:0008179	paroxysmal extreme pain disorder	Disease	MONDO	Paroxysmal extreme pain disorder is a rare disorder of abnormal pain sensation. [Orphanet:46348]	pain, submandibular, ocular, and rectal, with flushing|PEPD|familial rectal syndrome|submandibular, ocular, and rectal pain with flushing|Pexpd|familial rectal pain|rectal pain, familial|paroxysmal extreme pain disorder			GARD:0012854|OMIM:167400|NCIT:C125385|ORDO:46348|Orphanet:46348|UMLS:C1833661|SCTID:699190008|DOID:0111537|ICD-9:349.89|MESH:C563475|ICD9:349.89	MONDO:0008179
MONDO:0011146	tetrasomy 12p	Disease	MONDO	Pallister-Killian syndrome (PKS) is a rare multiple congenital anomaly/intellectual deficit syndrome caused by mosaic tissue-limited tetrasomy for chromosome 12p. [Orphanet:884]	Killian Teschler-Nicola syndrome|tetrasomy type 12p|Isochromosome 12p syndrome|Killian syndrome|Pallister mosaic syndrome|PKS|Isochromosome 12p mosaicism|Pallister-Killian mosaic syndrome|tetrasomy 12P, Mosaic|Pallister Killian syndrome|Isochromosome 12P syndrome|chromosome 12, Isochromosome 12p syndrome|Pallister-Killian syndrome|Hexasomy 12P, Mosaic|Teschler-Nicola Killian syndrome|Pallister-Killian syndrome, Somatic mosaicism			NCIT:C75458|UMLS:C0265449|ICD-9:758.81|OMIM:601803|MESH:C538105|ORDO:884|Orphanet:884|GARD:0008421|ICD9:758.81|SCTID:9527009	MONDO:0011146
MONDO:0021727	aberrant subclavian artery	Disease	MONDO	Aberrant subclavian artery is a rare vascular anomaly that is present from birth. It usually causes no symptoms and is oftendiscovered as an incidental finding (such as througha barium swallow or echocardiogram). Occasionally the anomaly causes swallowing difficulty (dysphagia lusoria). Swallowing symptoms in childrenmay present asfeeding difficulty and/or recurrent respiratory tract infection. When aberrant subclavian artery causes no symptoms, treatment is not needed. If the anomaly is causing significant symptoms, treatment may involve surgery. Children with symptomatic aberrant subclavian artery should be carefully evaluated for additional vascular and heart anomalies.. [GARD:0005706]	aberrant right subclavian artery|aberrant left subclavian artery|congenital malposition of subclavian artery|congenital malpositioned subclavian artery|aberrant subclavian artery			GARD:0005706|UMLS:C2936828|MESH:C535555|SCTID:93353003	MONDO:0021727
MONDO:0009279	triple-A syndrome	Disease	MONDO	Triple A syndrome is a very rare multisystem disease characterized by adrenal insufficiency with isolated glucocorticoid deficiency, achalasia, alacrima, autonomic dysfunction and neurodegeneration. [Orphanet:869]	4A syndrome|Addisonian-achalasia syndrome|achalasia alacrima syndrome|ACTH-resistant adrenal insufficiency, achalasia and alacrima|achalasia-addisonianism-alacrima syndrome|achalasia addisonianism alacrimia syndrome|alacrima-achalasia-adrenal insufficiency neurologic disorder|adrenal insufficiency-achalasia-alacrima syndrome|glucocorticoid deficiency and achalasia|2A syndrome|triple-a syndrome|achalasia-alacrima syndrome|triple A syndrome|AAAS|Double A syndrome|AAA|achalasia-addisonianism-alacrimia syndrome|Addisonian achalasia syndrome|AAA syndrome|alacrima-achalasia-addisonianism|Allgrove syndrome|3A syndrome|hypoadrenalism with achalasia|quaternary A syndrome			ICD9:255.41|ICD-9:255.41|MESH:C536008|NCIT:C131005|Orphanet:869|ORDO:869|SCTID:45414006|EFO:1001997|DOID:0050602|OMIM:231550|GARD:0000457	MONDO:0009279
MONDO:0013525	primary ciliary dyskinesia 16	Disease	MONDO	Any primary ciliary dyskinesia in which the cause of the disease is a mutation in the DNAL1 gene. [MONDO:patterns/disease_series_by_gene]	ciliary dyskinesia, primary, 16|primary ciliary dyskinesia 16 with or without situs inversus|primary ciliary dyskinesia caused by mutation in DNAL1|ciliary dyskinesia, primary, 16, with or without situs inversus|ciliary dyskinesia, primary, type 16|CILD16|primary ciliary dyskinesia type 16|DNAL1 primary ciliary dyskinesia			DOID:0110613|OMIM:614017|UMLS:C3151460	MONDO:0013525
MONDO:0014625	developmental and epileptic encephalopathy, 33	Disease	MONDO	Any early infantile epileptic encephalopathy in which the cause of the disease is a mutation in the EEF1A2 gene. [MONDO:patterns/disease_series_by_gene]	epileptic encephalopathy, early infantile, 33|EEF1A2 early infantile epileptic encephalopathy|epileptic encephalopathy, early infantile, type 33|early infantile epileptic encephalopathy caused by mutation in EEF1A2|DEE33|EIEE33|developmental and epileptic encephalopathy 33			DOID:0080463|OMIM:616409|UMLS:C4225337	MONDO:0014625
MONDO:0005687	Caliciviridae infectious disease	Disease	MONDO	Virus diseases caused by caliciviridae. They include hepatitis E; vesicular exanthema of swine; acute respiratory infections in felines, rabbit hemorrhagic disease, and some cases of gastroenteritis in humans. [MESH:D017250]	Calicivirus infection|Caliciviridae infection|infection, Calicivirus|infection, Caliciviridae|infections, Calicivirus|Calicivirus infections|infections, Caliciviridae			MESH:D017250|EFO:0007189	MONDO:0005687
MONDO:0004044	ureter urothelial papilloma	Disease	MONDO	A benign epithelial neoplasm that produces visible warty projections from the epithelial surface of the ureter. [NCIT:C6160]	ureter urothelial papilloma			DOID:6936|NCIT:C6160|UMLS:C1519823	MONDO:0004044
MONDO:0002696	Sertoli cell tumor	Disease	MONDO	A sex cord-stromal tumor of the testis or the ovary. It is characterized by the presence of Sertoli cells forming tubules. Leydig cells are rare or absent. It may be associated with Peutz-Jeghers syndrome. In males, the presenting symptom is a slow growing testicular mass. Most cases follow a benign clinical course. In females it may present with estrogenic or androgenic manifestations. The vast majority of cases have a benign clinical course. [NCIT:C39976]	Sertoli cell tumor|tubular androblastoma NOS (morphologic abnormality)|tubular androblastoma			NCIT:C39976|ICDO:8630/1|UMLS:C0036769|MESH:D012707|ICDO:8640/1|DOID:3577	MONDO:0002696
MONDO:0004214	ovarian endometrioid cystadenofibroma	Disease	MONDO	A benign neoplasm of the ovary characterized by the presence of cystic structures lined by endometrial-type well-differentiated cells in a fibrotic stroma. [NCIT:C27288]	ovarian endometrioid cystadenofibroma			UMLS:C1335158|NCIT:C27288|DOID:7411	MONDO:0004214
MONDO:0000452	progressive relapsing multiple sclerosis	Disease	MONDO	A multiple sclerosis that is characterized by steadily worsening symptoms and attacks during periods of remission with disease progression from the onset. [DOID:0050785, http://www.mayoclinic.org/multiple-sclerosis/types.html, http://www.nationalmssociety.org/about-multiple-sclerosis/progressive-ms/progressive-relapsing-ms/index.aspx]	progressive-relapsing MS|PRMS			UMLS:C0393666|SCTID:230374002|DOID:0050785	MONDO:0000452
